"Round","Date","Time","HomeTeam","HowegoalsFT","AwaygoalsFT","HomegoalsHT","AwaygoalsHT","AwayTeam","Month","Day","Year"
"11",2020-10-31,"20.45","Sporting Charleroi",NA,NA,NA,NA,"Cercle Brugge","Oct","31",2020
"11",2020-10-31,"20.45","Standard Liège",NA,NA,NA,NA,"KV Oostende","Oct","31",2020
"11",2020-10-31,"20.45","SV Zulte Waregem",NA,NA,NA,NA,"KV Kortrijk","Oct","31",2020
"11",2020-10-31,"20.45","Royal Excel Mouscron",NA,NA,NA,NA,"Sint-Truidense VV","Oct","31",2020
"12",2020-11-07,"20.45","Cercle Brugge",NA,NA,NA,NA,"SV Zulte Waregem","Nov","7",2020
"12",2020-11-07,"20.45","Royal Antwerp FC",NA,NA,NA,NA,"Standard Liège","Nov","7",2020
"12",2020-11-07,"20.45","KAS Eupen",NA,NA,NA,NA,"Waasland-Beveren","Nov","7",2020
"12",2020-11-07,"20.45","Sint-Truidense VV",NA,NA,NA,NA,"KRC Genk","Nov","7",2020
"12",2020-11-07,"20.45","KV Mechelen",NA,NA,NA,NA,"Sporting Charleroi","Nov","7",2020
"12",2020-11-07,"20.45","KV Oostende",NA,NA,NA,NA,"Club Brugge","Nov","7",2020
"12",2020-11-07,"20.45","Oud-Heverlee Leuven",NA,NA,NA,NA,"Royal Excel Mouscron","Nov","7",2020
"12",2020-11-07,"20.45","KV Kortrijk",NA,NA,NA,NA,"Beerschot VA","Nov","7",2020
"13",2020-11-21,"20.45","Sporting Charleroi",NA,NA,NA,NA,"KAA Gent","Nov","21",2020
"13",2020-11-22,"20.45","KRC Genk",NA,NA,NA,NA,"Royal Excel Mouscron","Nov","22",2020
"13",2020-11-22,"20.45","Beerschot VA",NA,NA,NA,NA,"RSC Anderlecht","Nov","22",2020
"13",2020-11-22,"20.45","Club Brugge",NA,NA,NA,NA,"KV Kortrijk","Nov","22",2020
"13",2020-11-22,"20.45","SV Zulte Waregem",NA,NA,NA,NA,"KV Mechelen","Nov","22",2020
"13",2020-11-22,"20.45","KV Oostende",NA,NA,NA,NA,"Royal Antwerp FC","Nov","22",2020
"13",2020-11-22,"20.45","Oud-Heverlee Leuven",NA,NA,NA,NA,"Sint-Truidense VV","Nov","22",2020
"13",2020-11-22,"20.45","Standard Liège",NA,NA,NA,NA,"KAS Eupen","Nov","22",2020
